Bug No,Summary,Platform,Status,Priority,Due Date,Resolved,Resolution,Created,Labels,Description
419,Startdate and end date not shown properly,Android-app,To Do,2,8/11/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
420,The Import list table column header name should be consistent as shown in the tab.,IOS-app,To Do,2,8/11/2021,,,13-04-2022 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
421,Alignment in View screen is nor proper,IOS-app,To Do,1,8/11/2021,,,23-04-2022 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
422,User should have one role for one project role while mapping role with the project.,IOS-app,Done,1,8/11/2021,8/11/2021,Done,20-04-2022 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
423,Enterbutton not working in description field,IOS-app,To Do,1,8/11/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
424,"In role access screen, under Jobcard tabs menu for the work order shows blank.",Android-app,Done,3,10/4/2021,8/11/2021,Done,5/12/2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
425,Dropdown not shown in advance search,Android-app,Done,3,10/4/2021,8/11/2021,Done,15-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
426,the user manual not updated,Android-app,Done,3,11/11/2021,12/11/2021,Done,########,UI,This is the description of my issues. Instructions to use this csv will come here.
427,User data is inncorrect,IOS-app,To Do,3,12/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
428,Order list is not aligned properly,IOS-app,To Do,3,12/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
429,description field must be consistent,IOS-app,To Do,3,12/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
430,user profile picture not visble,IOS-app,In Progress,3,12/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
431,cant see user detatils ,IOS-app,To Do,3,12/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
432,Logout is taking much time,Android-app,Done,1,17/11/2021,18/11/2021,Done,########,UI,This is the description of my issues. Instructions to use this csv will come here.
433,help button not aligned properly in header section,Android-app,Done,2,17/11/2021,19/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
434,Role switching  must be provided beside logout button,Android-app,To Do,2,17/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
435,Spelling mistake in username label,IOS-app,To Do,2,17/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
436,serach showing wrong result,Android-app,To Do,1,17/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
437,clear button not working,Android-app,To Do,1,17/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
438,revert revision not working,IOS-app,In Progress,1,17/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
439,view revision screen loads continuosly,Android-app,To Do,1,17/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
440,duplicate codes can be updated,Android-app,To Do,2,17/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
441,inactive records can be shown is order list,Android-app,Done,3,20/11/2021,20/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
442,loader is not shown in order list,IOS-app,Done,1,20/11/2021,20/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
443,The user dropdown record changed screen loads continuosly,Android-app,In Progress,1,20/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
444,Add or Edit User the screen loads continously by showing blank red toaster message.,Android-app,To Do,2,20/11/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
445, table column header name should be consistent as shown in the tab.,IOS-app,To Do,2,20/11/2021,,,13-04-2022 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
446,error message in view screen must be changed,IOS-app,To Do,1,20/11/2021,,,23-04-2022 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
447,"The description field shows ""Null"" in the View screen.",IOS-app,Done,1,20/11/2021,20/11/2021,Done,20-04-2022 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
448,Tab button not working in description field,IOS-app,To Do,1,21/11/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
449,"In role screen,  menu for the  order shows blank.",Android-app,Done,3,21/11/2021,21/11/2021,Done,5/12/2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
450,Dropdown not shown in user search,Android-app,Done,3,21/11/2021,21/11/2021,Done,15-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
451,Code Module Issue,IOS-app,In Progress,3,21/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
452,User Access Issue,IOS-app,To Do,3,21/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
453,Server memory Issue,Android-app,Done,1,21/11/2021,21/11/2021,Done,########,UI,This is the description of my issues. Instructions to use this csv will come here.
454,Insert logging,Android-app,Done,2,21/11/2021,21/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
455,validation display,Android-app,Done,3,21/11/2021,20/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
458,Site Survey,IOS-app,Done,1,21/11/2021,21/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
459,Bad JSON data coming back,Android-app,In Progress,1,21/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
460,500 Error when requesting,Android-app,To Do,2,21/11/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
461,Upload Images,Android-app,Done,3,21/11/2021,21/11/2021,Done,15-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
462,Upload Images Design ,IOS-app,In Progress,3,21/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
463,ERP Issues,Android-app,Done,2,21/11/2021,21/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
464,ERPSales Issues,Android-app,Done,3,21/11/2021,21/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
465,ERP Profit,IOS-app,Done,1,21/11/2021,21/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
466,PDF option,Android-app,Done,3,21/11/2021,21/11/2021,Done,15-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
467,Student Registration Form ,IOS-app,In Progress,3,21/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
468,Result For Total Calculation ,Android-app,Done,3,21/11/2021,21/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
469,Textbox value display ,IOS-app,Done,1,21/11/2021,21/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
470,Master Dashboard Display,Android-app,Done,3,21/11/2021,21/11/2021,Done,15-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
471,Mobile number Checked,Android-app,To Do,2,21/11/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
472,Submit Value check,Android-app,Done,3,21/11/2021,21/11/2021,Done,15-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
473,Multi-Select dropdown not working,Android-app,Done,2,21/11/2021,21/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
474,Gridview count,Android-app,Done,3,21/11/2021,21/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
475,validation for data not given,Android-app,Done,3,1/12/2021,1/12/2021,Done,########,UI,This is the description of my issues. Instructions to use this csv will come here.
476,start date cannot be greater than end date,IOS-app,To Do,3,1/12/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
477,Dropdownin order page shows wrong values,IOS-app,To Do,3,1/12/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
478,import functionality not working,IOS-app,To Do,3,1/12/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
479,Export functionality not working,IOS-app,In Progress,3,1/12/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
480,Pagination issue in user list,IOS-app,To Do,3,1/12/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
481,toggle switch in user screen not working,Android-app,Done,1,1/12/2021,1/12/2021,Done,########,UI,This is the description of my issues. Instructions to use this csv will come here.
482,Select all checkbox in dropdown not working,Android-app,Done,2,2/12/2021,4/12/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
483,cannot uncheck the checkbox in user list,Android-app,To Do,2,2/12/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
484,Phusion link is not redirecting correctly,IOS-app,To Do,2,2/12/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
485,Color of the text label should consistent in all the pages,Android-app,To Do,1,4/12/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
486, User View screen data inconsistent,Android-app,To Do,1,4/12/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
487,notification email not triggered,IOS-app,In Progress,1,4/12/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
488,"The toaster message for Insert, update and delete order should show error message",Android-app,To Do,1,4/12/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
489,tiptool to be provided in view user,Android-app,To Do,2,4/12/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
490,Count of records in user list is not correct,Android-app,Done,3,7/12/2021,7/12/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
491,loader is not shown in order list,IOS-app,Done,1,7/12/2021,7/12/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
492,The user dropdown not displaying any record ,Android-app,In Progress,1,7/12/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
493,import CSV not working,Android-app,To Do,2,8/12/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
494,Export CSV functionality the screen keeps on loading,IOS-app,To Do,2,8/12/2021,,,13-04-2022 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
495,import excel not working,IOS-app,To Do,1,8/12/2021,,,23-04-2022 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
496,Export excel functionality the screen keeps on loading,IOS-app,Done,1,8/12/2021,8/12/2021,Done,20-04-2022 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
497,space button not working in description field,IOS-app,To Do,1,8/12/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
498,upload profile picture not working,Android-app,Done,3,8/12/2021,8/12/2021,Done,5/12/2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
499,PDF option to be provided,Android-app,Done,3,8/12/2021,8/12/2021,Done,15-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
500,Radio button is not working,IOS-app,To Do,2,8/12/2021,,,13-04-2022 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
